CMDLINE C:/Users/Hertzian/Documents/msys2/ucrt64/bin/python.exe bar.py
MEM 1.593750 1730130413.8741
MEM 16.714844 1730130413.9804
MEM 25.550781 1730130414.0807
MEM 31.292969 1730130414.1810
MEM 32.187500 1730130414.2813
MEM 32.445312 1730130414.3816
MEM 32.683594 1730130414.4819
MEM 33.960938 1730130414.5822
MEM 34.613281 1730130414.6827
MEM 34.613281 1730130414.7835
MEM 34.613281 1730130414.8844
MEM 34.613281 1730130414.9853
MEM 34.613281 1730130415.0861
MEM 34.613281 1730130415.1870
MEM 34.613281 1730130415.2878
MEM 34.613281 1730130415.3886
MEM 34.613281 1730130415.4894
MEM 35.671875 1730130415.5902
MEM 35.671875 1730130415.6905
MEM 35.671875 1730130415.7914
MEM 35.937500 1730130415.8921
MEM 35.937500 1730130415.9924
MEM 35.937500 1730130416.0933
MEM 35.984375 1730130416.1940
MEM 35.984375 1730130416.2943
MEM 35.984375 1730130416.3951
MEM 36.062500 1730130416.4959
MEM 36.062500 1730130416.5967
MEM 36.062500 1730130416.6976
MEM 36.062500 1730130416.7984
MEM 36.097656 1730130416.8993
MEM 36.097656 1730130417.0002
MEM 36.097656 1730130417.1007
MEM 36.097656 1730130417.2012
MEM 36.097656 1730130417.3017
MEM 36.097656 1730130417.4021
MEM 36.097656 1730130417.5029
MEM 36.097656 1730130417.6034
MEM 36.097656 1730130417.7039
MEM 36.160156 1730130417.8047
MEM 36.160156 1730130417.9052
MEM 36.160156 1730130418.0057
MEM 36.160156 1730130418.1063
MEM 36.160156 1730130418.2067
MEM 36.160156 1730130418.3076
MEM 36.160156 1730130418.4084
MEM 36.160156 1730130418.5093
MEM 36.160156 1730130418.6098
MEM 36.160156 1730130418.7103
MEM 36.160156 1730130418.8112
MEM 36.160156 1730130418.9117
MEM 36.160156 1730130419.0122
MEM 36.203125 1730130419.1132
MEM 36.203125 1730130419.2138
MEM 36.203125 1730130419.3146
MEM 36.250000 1730130419.4154
MEM 36.250000 1730130419.5162
MEM 36.250000 1730130419.6170
MEM 36.250000 1730130419.7179
MEM 36.304688 1730130419.8186
MEM 36.304688 1730130419.9195
MEM 36.304688 1730130420.0203
MEM 36.304688 1730130420.1211
MEM 36.304688 1730130420.2214
MEM 36.304688 1730130420.3222
MEM 36.347656 1730130420.4230
MEM 36.347656 1730130420.5242
MEM 36.347656 1730130420.6245
MEM 36.347656 1730130420.7254
MEM 36.347656 1730130420.8262
MEM 36.347656 1730130420.9270
MEM 36.347656 1730130421.0279
MEM 36.347656 1730130421.1289
MEM 36.351562 1730130421.2293
MEM 36.394531 1730130421.3302
MEM 36.394531 1730130421.4305
MEM 36.394531 1730130421.5310
MEM 36.441406 1730130421.6318
MEM 36.441406 1730130421.7323
MEM 36.441406 1730130421.8328
MEM 36.488281 1730130421.9332
MEM 36.488281 1730130422.0337
MEM 36.488281 1730130422.1342
MEM 36.488281 1730130422.2347
MEM 36.488281 1730130422.3355
MEM 36.488281 1730130422.4364
MEM 36.882812 1730130422.5372
MEM 36.882812 1730130422.6375
MEM 36.882812 1730130422.7383
MEM 36.179688 1730130422.8392
MEM 36.179688 1730130422.9400
MEM 36.179688 1730130423.0409
MEM 36.179688 1730130423.1418
MEM 36.859375 1730130423.2426
MEM 36.859375 1730130423.3433
MEM 36.859375 1730130423.4435
MEM 36.867188 1730130423.5438
MEM 36.347656 1730130423.6446
MEM 36.347656 1730130423.7449
MEM 36.347656 1730130423.8458
MEM 36.476562 1730130423.9467
MEM 36.480469 1730130424.0475
MEM 36.480469 1730130424.1479
MEM 36.648438 1730130424.2487
MEM 36.945312 1730130424.3495
MEM 36.945312 1730130424.4498
MEM 36.945312 1730130424.5505
MEM 36.945312 1730130424.6509
MEM 37.070312 1730130424.7517
MEM 37.070312 1730130424.8521
MEM 37.070312 1730130424.9526
MEM 37.187500 1730130425.0534
MEM 37.187500 1730130425.1539
MEM 37.191406 1730130425.2544
MEM 37.234375 1730130425.3553
MEM 37.234375 1730130425.4558
MEM 37.285156 1730130425.5567
MEM 37.285156 1730130425.6570
MEM 37.285156 1730130425.7573
MEM 37.285156 1730130425.8577
MEM 37.285156 1730130425.9582
MEM 37.285156 1730130426.0587
MEM 37.332031 1730130426.1596
MEM 37.332031 1730130426.2599
MEM 37.378906 1730130426.3602
MEM 37.378906 1730130426.4605
MEM 37.378906 1730130426.5613
MEM 37.445312 1730130426.6615
MEM 37.445312 1730130426.7622
MEM 37.445312 1730130426.8625
MEM 37.527344 1730130426.9633
MEM 37.527344 1730130427.0636
MEM 37.531250 1730130427.1644
MEM 37.574219 1730130427.2648
MEM 37.574219 1730130427.3652
MEM 37.574219 1730130427.4660
MEM 37.988281 1730130427.5669
MEM 37.988281 1730130427.6672
MEM 37.988281 1730130427.7681
MEM 37.988281 1730130427.8689
MEM 38.335938 1730130427.9697
MEM 38.335938 1730130428.0701
MEM 38.335938 1730130428.1710
MEM 38.386719 1730130428.2718
MEM 38.386719 1730130428.3726
MEM 38.386719 1730130428.4735
MEM 38.386719 1730130428.5743
MEM 38.386719 1730130428.6746
MEM 38.386719 1730130428.7754
MEM 38.386719 1730130428.8763
MEM 38.441406 1730130428.9771
MEM 38.441406 1730130429.0780
MEM 38.441406 1730130429.1784
MEM 38.441406 1730130429.2794
MEM 38.441406 1730130429.3804
MEM 38.441406 1730130429.4809
MEM 38.441406 1730130429.5813
MEM 38.441406 1730130429.6818
MEM 38.484375 1730130429.7828
MEM 38.484375 1730130429.8832
MEM 38.488281 1730130429.9837
MEM 38.531250 1730130430.0846
MEM 38.531250 1730130430.1849
MEM 38.531250 1730130430.2858
MEM 38.578125 1730130430.3866
MEM 38.578125 1730130430.4875
