CMDLINE C:/Users/Hertzian/Documents/msys2/ucrt64/bin/python.exe bar.py
MEM 1.593750 1730129301.0463
MEM 16.804688 1730129301.1506
MEM 25.582031 1730129301.2509
MEM 31.460938 1730129301.3511
MEM 32.093750 1730129301.4515
MEM 32.332031 1730129301.5518
MEM 32.621094 1730129301.6520
MEM 34.546875 1730129301.7523
MEM 34.554688 1730129301.8527
MEM 34.554688 1730129301.9532
MEM 34.910156 1730129302.0540
MEM 34.910156 1730129302.1543
MEM 34.910156 1730129302.2548
MEM 35.406250 1730129302.3553
MEM 35.406250 1730129302.4561
MEM 35.406250 1730129302.5570
MEM 35.632812 1730129302.6577
MEM 35.632812 1730129302.7581
MEM 35.632812 1730129302.8590
MEM 35.863281 1730129302.9598
MEM 35.863281 1730129303.0601
MEM 35.863281 1730129303.1610
MEM 35.863281 1730129303.2619
MEM 35.863281 1730129303.3628
MEM 36.031250 1730129303.4636
MEM 36.031250 1730129303.5640
MEM 36.031250 1730129303.6648
MEM 36.031250 1730129303.7652
MEM 36.031250 1730129303.8660
MEM 36.031250 1730129303.9669
MEM 36.031250 1730129304.0678
MEM 36.101562 1730129304.1686
MEM 36.101562 1730129304.2689
MEM 36.101562 1730129304.3698
MEM 36.101562 1730129304.4705
MEM 36.101562 1730129304.5709
MEM 36.101562 1730129304.6717
MEM 36.101562 1730129304.7720
MEM 36.101562 1730129304.8729
MEM 36.101562 1730129304.9733
MEM 36.101562 1730129305.0742
MEM 36.101562 1730129305.1747
MEM 36.101562 1730129305.2752
MEM 36.144531 1730129305.3760
MEM 36.144531 1730129305.4765
MEM 36.144531 1730129305.5769
MEM 36.191406 1730129305.6779
MEM 36.191406 1730129305.7783
MEM 36.191406 1730129305.8788
MEM 36.191406 1730129305.9793
MEM 36.246094 1730129306.0798
MEM 36.246094 1730129306.1802
MEM 36.246094 1730129306.2816
MEM 36.246094 1730129306.3825
MEM 36.246094 1730129306.4834
MEM 36.246094 1730129306.5842
MEM 36.246094 1730129306.6850
MEM 36.289062 1730129306.7852
MEM 36.289062 1730129306.8854
MEM 36.289062 1730129306.9858
MEM 36.289062 1730129307.0867
MEM 36.289062 1730129307.1876
MEM 36.289062 1730129307.2885
MEM 36.289062 1730129307.3893
MEM 36.335938 1730129307.4901
MEM 36.335938 1730129307.5909
MEM 36.335938 1730129307.6918
MEM 36.382812 1730129307.7921
MEM 36.382812 1730129307.8930
MEM 36.429688 1730129307.9938
MEM 36.429688 1730129308.0946
MEM 36.429688 1730129308.1955
MEM 36.429688 1730129308.2959
MEM 36.429688 1730129308.3968
MEM 36.429688 1730129308.4977
MEM 36.429688 1730129308.5983
MEM 36.429688 1730129308.6987
MEM 36.429688 1730129308.7992
MEM 36.976562 1730129308.8996
MEM 36.976562 1730129309.0001
MEM 37.378906 1730129309.1006
MEM 37.378906 1730129309.2015
MEM 37.378906 1730129309.3020
MEM 37.378906 1730129309.4025
MEM 37.378906 1730129309.5030
MEM 37.421875 1730129309.6035
MEM 37.421875 1730129309.7044
MEM 37.421875 1730129309.8047
MEM 36.312500 1730129309.9056
MEM 36.312500 1730129310.0064
MEM 36.312500 1730129310.1073
MEM 36.312500 1730129310.2082
MEM 37.105469 1730129310.3090
MEM 37.105469 1730129310.4098
MEM 37.105469 1730129310.5107
MEM 37.105469 1730129310.6116
MEM 37.410156 1730129310.7124
MEM 37.410156 1730129310.8128
MEM 37.410156 1730129310.9137
MEM 37.410156 1730129311.0145
MEM 37.457031 1730129311.1154
MEM 37.457031 1730129311.2162
MEM 37.457031 1730129311.3171
MEM 37.671875 1730129311.4180
MEM 37.671875 1730129311.5187
MEM 37.671875 1730129311.6197
MEM 37.734375 1730129311.7202
MEM 37.734375 1730129311.8206
MEM 37.734375 1730129311.9211
MEM 37.785156 1730129312.0221
MEM 37.785156 1730129312.1225
MEM 37.785156 1730129312.2230
MEM 37.785156 1730129312.3235
MEM 37.785156 1730129312.4240
MEM 37.832031 1730129312.5244
MEM 37.832031 1730129312.6249
MEM 37.832031 1730129312.7257
MEM 37.878906 1730129312.8259
MEM 37.878906 1730129312.9267
MEM 37.878906 1730129313.0275
MEM 37.929688 1730129313.1283
MEM 37.929688 1730129313.2286
MEM 37.984375 1730129313.3294
MEM 37.984375 1730129313.4301
MEM 37.984375 1730129313.5303
MEM 38.031250 1730129313.6305
MEM 38.031250 1730129313.7312
MEM 38.031250 1730129313.8315
MEM 38.082031 1730129313.9324
MEM 38.082031 1730129314.0331
MEM 38.082031 1730129314.1333
MEM 38.128906 1730129314.2341
MEM 38.128906 1730129314.3348
MEM 38.128906 1730129314.4357
MEM 38.179688 1730129314.5365
MEM 38.179688 1730129314.6368
MEM 38.179688 1730129314.7376
MEM 38.179688 1730129314.8379
MEM 38.179688 1730129314.9388
MEM 38.179688 1730129315.0396
MEM 38.179688 1730129315.1405
MEM 38.234375 1730129315.2413
MEM 38.234375 1730129315.3422
MEM 38.234375 1730129315.4431
MEM 38.277344 1730129315.5440
MEM 38.277344 1730129315.6444
MEM 38.320312 1730129315.7453
MEM 38.320312 1730129315.8458
MEM 38.320312 1730129315.9462
MEM 38.320312 1730129316.0467
MEM 38.320312 1730129316.1472
MEM 38.320312 1730129316.2477
MEM 38.320312 1730129316.3482
MEM 38.320312 1730129316.4486
MEM 38.320312 1730129316.5496
MEM 38.371094 1730129316.6505
MEM 38.371094 1730129316.7514
MEM 38.371094 1730129316.8518
