CMDLINE C:/Users/Hertzian/Documents/msys2/ucrt64/bin/python.exe foo.py
MEM 1.585938 1729869879.5872
MEM 16.410156 1729869879.6920
MEM 24.894531 1729869879.7923
MEM 25.539062 1729869879.8927
MEM 26.332031 1729869879.9930
MEM 26.898438 1729869880.0934
MEM 27.968750 1729869880.1937
MEM 30.089844 1729869880.2940
MEM 30.152344 1729869880.3943
MEM 30.222656 1729869880.4947
MEM 30.617188 1729869880.5951
MEM 32.796875 1729869880.6953
MEM 34.699219 1729869880.7955
MEM 34.906250 1729869880.8957
MEM 35.187500 1729869880.9958
MEM 36.019531 1729869881.0960
MEM 37.054688 1729869881.1963
MEM 37.054688 1729869881.2972
MEM 37.054688 1729869881.3980
MEM 38.058594 1729869881.4988
MEM 38.058594 1729869881.5991
MEM 38.058594 1729869881.7000
MEM 38.308594 1729869881.8008
MEM 38.308594 1729869881.9015
MEM 38.308594 1729869882.0024
MEM 38.308594 1729869882.1032
MEM 38.390625 1729869882.2040
MEM 38.390625 1729869882.3043
MEM 38.390625 1729869882.4051
MEM 38.390625 1729869882.5060
MEM 38.480469 1729869882.6067
MEM 38.480469 1729869882.7070
MEM 38.480469 1729869882.8079
MEM 38.546875 1729869882.9088
MEM 38.546875 1729869883.0096
MEM 38.546875 1729869883.1099
MEM 38.609375 1729869883.2107
MEM 38.609375 1729869883.3111
MEM 38.609375 1729869883.4120
MEM 38.679688 1729869883.5129
MEM 38.679688 1729869883.6133
MEM 38.679688 1729869883.7138
MEM 38.757812 1729869883.8143
MEM 38.757812 1729869883.9148
MEM 38.757812 1729869884.0153
MEM 38.824219 1729869884.1162
MEM 38.824219 1729869884.2166
MEM 38.824219 1729869884.3171
MEM 38.843750 1729869884.4179
MEM 38.890625 1729869884.5183
MEM 38.890625 1729869884.6188
MEM 38.890625 1729869884.7193
MEM 38.957031 1729869884.8206
MEM 38.957031 1729869884.9208
MEM 38.957031 1729869885.0211
MEM 39.019531 1729869885.1219
MEM 39.019531 1729869885.2223
MEM 39.023438 1729869885.3230
MEM 39.101562 1729869885.4238
MEM 39.101562 1729869885.5246
MEM 39.101562 1729869885.6254
MEM 39.457031 1729869885.7262
MEM 39.457031 1729869885.8271
MEM 39.457031 1729869885.9279
MEM 39.531250 1729869886.0286
MEM 39.531250 1729869886.1294
MEM 39.531250 1729869886.2302
MEM 39.605469 1729869886.3309
MEM 39.605469 1729869886.4312
MEM 39.605469 1729869886.5315
MEM 39.605469 1729869886.6323
MEM 39.605469 1729869886.7332
MEM 39.605469 1729869886.8340
MEM 39.605469 1729869886.9348
MEM 39.605469 1729869887.0357
MEM 39.605469 1729869887.1366
MEM 39.039062 1729869887.2375
MEM 39.039062 1729869887.3380
MEM 39.039062 1729869887.4384
MEM 39.824219 1729869887.5393
MEM 39.824219 1729869887.6399
MEM 39.824219 1729869887.7404
MEM 40.031250 1729869887.8409
MEM 40.031250 1729869887.9417
MEM 40.031250 1729869888.0420
MEM 40.058594 1729869888.1429
MEM 40.125000 1729869888.2437
MEM 40.125000 1729869888.3441
MEM 40.125000 1729869888.4445
MEM 40.230469 1729869888.5454
MEM 40.230469 1729869888.6458
MEM 40.296875 1729869888.7467
MEM 40.296875 1729869888.8471
MEM 40.296875 1729869888.9476
MEM 40.390625 1729869889.0485
MEM 40.390625 1729869889.1495
MEM 40.390625 1729869889.2503
MEM 40.460938 1729869889.3510
MEM 40.460938 1729869889.4513
MEM 40.460938 1729869889.5521
MEM 40.585938 1729869889.6528
MEM 40.585938 1729869889.7536
MEM 40.589844 1729869889.8544
MEM 40.589844 1729869889.9557
MEM 40.589844 1729869890.0565
MEM 40.589844 1729869890.1573
MEM 40.718750 1729869890.2581
MEM 40.718750 1729869890.3588
MEM 40.718750 1729869890.4592
MEM 40.785156 1729869890.5599
MEM 40.785156 1729869890.6602
MEM 40.785156 1729869890.7611
MEM 41.210938 1729869890.8618
MEM 41.210938 1729869890.9621
MEM 41.210938 1729869891.0634
MEM 41.238281 1729869891.1642
MEM 41.238281 1729869891.2647
MEM 41.238281 1729869891.3652
MEM 41.289062 1729869891.4660
MEM 41.289062 1729869891.5665
MEM 41.289062 1729869891.6670
MEM 41.363281 1729869891.7678
MEM 41.363281 1729869891.8688
MEM 41.363281 1729869891.9697
MEM 41.429688 1729869892.0704
MEM 41.429688 1729869892.1708
MEM 41.429688 1729869892.2716
MEM 41.488281 1729869892.3723
MEM 41.488281 1729869892.4726
MEM 41.550781 1729869892.5729
MEM 41.550781 1729869892.6737
MEM 41.550781 1729869892.7744
MEM 41.617188 1729869892.8748
MEM 41.617188 1729869892.9752
MEM 41.617188 1729869893.0760
MEM 41.679688 1729869893.1768
MEM 41.679688 1729869893.2772
MEM 41.679688 1729869893.3780
MEM 41.757812 1729869893.4789
MEM 41.757812 1729869893.5796
MEM 41.757812 1729869893.6798
MEM 41.816406 1729869893.7805
MEM 41.816406 1729869893.8807
MEM 42.230469 1729869893.9811
MEM 42.230469 1729869894.0818
MEM 42.230469 1729869894.1820
MEM 42.296875 1729869894.2829
MEM 42.296875 1729869894.3838
MEM 42.296875 1729869894.4847
MEM 42.367188 1729869894.5855
MEM 42.367188 1729869894.6862
MEM 42.367188 1729869894.7865
MEM 42.429688 1729869894.8873
MEM 42.429688 1729869894.9882
MEM 42.429688 1729869895.0892
MEM 42.500000 1729869895.1901
MEM 42.500000 1729869895.2906
MEM 42.500000 1729869895.3911
MEM 42.566406 1729869895.4919
MEM 42.566406 1729869895.5923
MEM 42.621094 1729869895.6928
MEM 42.621094 1729869895.7933
MEM 42.621094 1729869895.8938
MEM 42.699219 1729869895.9946
MEM 42.699219 1729869896.0954
MEM 42.699219 1729869896.1963
MEM 42.761719 1729869896.2971
MEM 42.761719 1729869896.3979
MEM 42.761719 1729869896.4988
MEM 42.761719 1729869896.5997
MEM 42.835938 1729869896.7004
MEM 42.835938 1729869896.8008
MEM 42.843750 1729869896.9016
MEM 42.921875 1729869897.0023
MEM 42.921875 1729869897.1025
MEM 42.921875 1729869897.2026
MEM 42.921875 1729869897.3029
MEM 42.921875 1729869897.4033
MEM 42.921875 1729869897.5041
MEM 43.011719 1729869897.6049
MEM 41.835938 1729869897.7051
MEM 41.835938 1729869897.8053
MEM 41.835938 1729869897.9056
MEM 41.835938 1729869898.0065
MEM 42.378906 1729869898.1072
MEM 42.378906 1729869898.2076
MEM 42.378906 1729869898.3085
MEM 42.476562 1729869898.4093
MEM 42.476562 1729869898.5100
MEM 42.476562 1729869898.6104
MEM 42.484375 1729869898.7113
MEM 42.484375 1729869898.8136
MEM 42.484375 1729869898.9141
MEM 42.804688 1729869899.0149
MEM 42.804688 1729869899.1154
MEM 42.804688 1729869899.2160
MEM 42.855469 1729869899.3169
MEM 42.855469 1729869899.4173
MEM 42.859375 1729869899.5182
MEM 42.867188 1729869899.6189
MEM 42.867188 1729869899.7196
MEM 42.867188 1729869899.8204
MEM 42.988281 1729869899.9212
MEM 42.988281 1729869900.0215
MEM 42.988281 1729869900.1222
MEM 42.988281 1729869900.2231
MEM 42.988281 1729869900.3239
MEM 42.988281 1729869900.4248
MEM 42.996094 1729869900.5256
MEM 42.996094 1729869900.6259
MEM 42.996094 1729869900.7268
MEM 43.023438 1729869900.8277
MEM 43.023438 1729869900.9285
MEM 43.023438 1729869901.0293
MEM 43.023438 1729869901.1302
MEM 43.023438 1729869901.2310
MEM 43.023438 1729869901.3320
MEM 43.023438 1729869901.4325
MEM 43.023438 1729869901.5329
MEM 43.023438 1729869901.6334
MEM 43.023438 1729869901.7344
MEM 43.023438 1729869901.8352
MEM 43.023438 1729869901.9357
MEM 43.023438 1729869902.0362
MEM 43.023438 1729869902.1367
MEM 43.023438 1729869902.2372
MEM 43.023438 1729869902.3381
MEM 43.023438 1729869902.4390
MEM 43.023438 1729869902.5398
MEM 43.023438 1729869902.6406
MEM 43.023438 1729869902.7409
MEM 43.027344 1729869902.8418
MEM 43.027344 1729869902.9426
MEM 41.894531 1729869903.0433
MEM 41.894531 1729869903.1440
