CMDLINE C:/Users/Hertzian/Documents/msys2/ucrt64/bin/python.exe foo.py
MEM 1.597656 1730128824.4406
MEM 16.753906 1730128824.5444
MEM 26.148438 1730128824.6447
MEM 30.761719 1730128824.7450
MEM 34.605469 1730128824.8453
MEM 34.941406 1730128824.9456
MEM 35.148438 1730128825.0459
MEM 35.523438 1730128825.1462
MEM 37.371094 1730128825.2465
MEM 37.371094 1730128825.3470
MEM 37.371094 1730128825.4475
MEM 37.371094 1730128825.5480
MEM 38.375000 1730128825.6485
MEM 38.375000 1730128825.7489
MEM 38.375000 1730128825.8498
MEM 38.636719 1730128825.9501
MEM 38.636719 1730128826.0509
MEM 38.636719 1730128826.1518
MEM 38.707031 1730128826.2526
MEM 38.707031 1730128826.3530
MEM 38.707031 1730128826.4538
MEM 38.796875 1730128826.5546
MEM 38.796875 1730128826.6550
MEM 38.796875 1730128826.7559
MEM 38.796875 1730128826.8567
MEM 38.796875 1730128826.9570
MEM 38.871094 1730128827.0578
MEM 38.871094 1730128827.1586
MEM 38.871094 1730128827.2595
MEM 38.871094 1730128827.3603
MEM 38.871094 1730128827.4612
MEM 38.871094 1730128827.5621
MEM 38.929688 1730128827.6629
MEM 38.929688 1730128827.7633
MEM 38.929688 1730128827.8641
MEM 38.929688 1730128827.9644
MEM 38.929688 1730128828.0652
MEM 38.929688 1730128828.1661
MEM 38.929688 1730128828.2671
MEM 39.117188 1730128828.3675
MEM 39.117188 1730128828.4679
MEM 39.117188 1730128828.5685
MEM 39.183594 1730128828.6693
MEM 39.183594 1730128828.7697
MEM 39.183594 1730128828.8702
MEM 39.183594 1730128828.9706
MEM 39.183594 1730128829.0711
MEM 39.261719 1730128829.1720
MEM 39.261719 1730128829.2724
MEM 39.261719 1730128829.3729
MEM 39.261719 1730128829.4738
MEM 39.261719 1730128829.5747
MEM 39.261719 1730128829.6755
MEM 39.328125 1730128829.7762
MEM 39.328125 1730128829.8769
MEM 39.328125 1730128829.9772
MEM 39.328125 1730128830.0781
MEM 39.328125 1730128830.1789
MEM 39.328125 1730128830.2797
MEM 39.394531 1730128830.3806
MEM 39.394531 1730128830.4813
MEM 39.394531 1730128830.5822
MEM 39.457031 1730128830.6830
MEM 39.457031 1730128830.7838
MEM 39.457031 1730128830.8841
MEM 39.527344 1730128830.9843
MEM 39.527344 1730128831.0851
MEM 39.527344 1730128831.1859
MEM 39.527344 1730128831.2868
MEM 39.527344 1730128831.3876
MEM 39.527344 1730128831.4885
MEM 39.527344 1730128831.5894
MEM 39.527344 1730128831.6903
MEM 39.214844 1730128831.7906
MEM 39.214844 1730128831.8910
MEM 39.820312 1730128831.9913
MEM 39.824219 1730128832.0917
MEM 39.824219 1730128832.1921
MEM 39.824219 1730128832.2925
MEM 39.824219 1730128832.3930
MEM 40.054688 1730128832.4939
MEM 40.054688 1730128832.5943
MEM 40.054688 1730128832.6953
MEM 39.476562 1730128832.7957
MEM 39.476562 1730128832.8961
MEM 39.476562 1730128832.9965
MEM 39.476562 1730128833.0969
MEM 40.261719 1730128833.1977
MEM 40.261719 1730128833.2982
MEM 40.261719 1730128833.3987
MEM 40.460938 1730128833.4996
MEM 40.460938 1730128833.6001
MEM 40.460938 1730128833.7006
MEM 40.460938 1730128833.8011
MEM 40.562500 1730128833.9019
MEM 40.562500 1730128834.0022
MEM 40.628906 1730128834.1027
MEM 40.691406 1730128834.2035
MEM 40.691406 1730128834.3041
MEM 40.757812 1730128834.4049
MEM 40.757812 1730128834.5056
MEM 40.757812 1730128834.6065
MEM 40.828125 1730128834.7073
MEM 40.828125 1730128834.8080
MEM 40.828125 1730128834.9083
MEM 40.828125 1730128835.0086
MEM 40.828125 1730128835.1094
MEM 40.894531 1730128835.2102
MEM 40.894531 1730128835.3105
MEM 40.894531 1730128835.4113
MEM 40.957031 1730128835.5121
MEM 40.957031 1730128835.6125
MEM 40.957031 1730128835.7133
MEM 41.023438 1730128835.8140
MEM 41.023438 1730128835.9143
MEM 41.152344 1730128836.0151
MEM 41.152344 1730128836.1158
MEM 41.152344 1730128836.2161
MEM 41.152344 1730128836.3169
MEM 41.218750 1730128836.4177
MEM 41.218750 1730128836.5186
MEM 41.218750 1730128836.6194
MEM 41.218750 1730128836.7204
MEM 41.218750 1730128836.8209
MEM 41.218750 1730128836.9218
MEM 41.218750 1730128837.0223
MEM 41.218750 1730128837.1228
MEM 41.644531 1730128837.2237
MEM 41.644531 1730128837.3245
MEM 41.644531 1730128837.4249
MEM 41.679688 1730128837.5253
MEM 41.679688 1730128837.6263
MEM 41.679688 1730128837.7271
MEM 41.742188 1730128837.8279
MEM 41.742188 1730128837.9288
MEM 41.742188 1730128838.0297
MEM 41.742188 1730128838.1305
MEM 41.742188 1730128838.2314
MEM 41.742188 1730128838.3323
MEM 41.742188 1730128838.4332
MEM 41.742188 1730128838.5341
MEM 41.742188 1730128838.6349
MEM 41.742188 1730128838.7358
MEM 41.804688 1730128838.8367
MEM 41.804688 1730128838.9375
MEM 41.804688 1730128839.0379
MEM 41.808594 1730128839.1387
MEM 41.875000 1730128839.2395
MEM 41.875000 1730128839.3399
MEM 41.937500 1730128839.4407
MEM 41.937500 1730128839.5415
MEM 41.937500 1730128839.6419
MEM 41.937500 1730128839.7428
MEM 41.937500 1730128839.8438
MEM 41.937500 1730128839.9447
MEM 41.937500 1730128840.0452
MEM 41.937500 1730128840.1457
MEM 41.996094 1730128840.2462
MEM 41.996094 1730128840.3467
MEM 41.996094 1730128840.4472
MEM 41.996094 1730128840.5477
MEM 42.062500 1730128840.6486
MEM 42.062500 1730128840.7494
MEM 42.062500 1730128840.8499
MEM 42.062500 1730128840.9507
MEM 42.062500 1730128841.0511
MEM 42.062500 1730128841.1520
MEM 42.062500 1730128841.2528
MEM 42.132812 1730128841.3537
MEM 42.132812 1730128841.4545
MEM 42.132812 1730128841.5549
MEM 42.132812 1730128841.6558
MEM 42.132812 1730128841.7565
MEM 42.132812 1730128841.8569
MEM 42.132812 1730128841.9577
MEM 42.203125 1730128842.0580
MEM 42.203125 1730128842.1586
MEM 42.203125 1730128842.2588
MEM 42.265625 1730128842.3592
MEM 42.265625 1730128842.4598
MEM 42.265625 1730128842.5600
MEM 42.265625 1730128842.6604
MEM 42.683594 1730128842.7612
MEM 42.683594 1730128842.8621
MEM 42.683594 1730128842.9629
MEM 42.683594 1730128843.0633
MEM 42.683594 1730128843.1642
MEM 42.683594 1730128843.2650
MEM 42.683594 1730128843.3659
MEM 42.750000 1730128843.4668
MEM 42.750000 1730128843.5671
MEM 42.750000 1730128843.6680
MEM 42.816406 1730128843.7690
MEM 42.816406 1730128843.8694
MEM 42.816406 1730128843.9698
MEM 42.816406 1730128844.0703
MEM 42.882812 1730128844.1708
MEM 42.882812 1730128844.2712
MEM 42.886719 1730128844.3720
MEM 42.949219 1730128844.4724
MEM 42.949219 1730128844.5730
MEM 42.949219 1730128844.6735
MEM 42.949219 1730128844.7739
MEM 43.015625 1730128844.8744
MEM 43.015625 1730128844.9753
MEM 43.015625 1730128845.0761
MEM 43.015625 1730128845.1770
MEM 43.015625 1730128845.2779
MEM 43.015625 1730128845.3788
MEM 43.074219 1730128845.4796
MEM 43.074219 1730128845.5804
MEM 43.074219 1730128845.6813
MEM 43.144531 1730128845.7822
MEM 43.144531 1730128845.8829
MEM 43.144531 1730128845.9837
MEM 43.214844 1730128846.0841
MEM 43.214844 1730128846.1849
MEM 43.214844 1730128846.2857
MEM 43.285156 1730128846.3865
MEM 43.285156 1730128846.4867
MEM 43.285156 1730128846.5875
MEM 43.371094 1730128846.6881
MEM 43.371094 1730128846.7883
MEM 43.371094 1730128846.8885
MEM 43.371094 1730128846.9887
MEM 43.371094 1730128847.0890
MEM 43.371094 1730128847.1898
MEM 43.371094 1730128847.2907
MEM 43.371094 1730128847.3915
MEM 43.460938 1730128847.4923
MEM 42.183594 1730128847.5926
MEM 42.191406 1730128847.6929
MEM 42.191406 1730128847.7932
MEM 42.679688 1730128847.8942
MEM 42.679688 1730128847.9950
MEM 42.679688 1730128848.0954
MEM 42.707031 1730128848.1958
MEM 42.707031 1730128848.2963
MEM 42.707031 1730128848.3968
MEM 42.800781 1730128848.4976
MEM 42.800781 1730128848.5981
MEM 42.800781 1730128848.6986
MEM 42.800781 1730128848.7991
MEM 43.132812 1730128848.8995
MEM 43.136719 1730128848.9999
MEM 43.136719 1730128849.1003
MEM 43.136719 1730128849.2012
MEM 43.136719 1730128849.3016
MEM 43.136719 1730128849.4025
MEM 43.355469 1730128849.5033
MEM 43.355469 1730128849.6040
MEM 43.355469 1730128849.7048
MEM 43.355469 1730128849.8051
MEM 43.355469 1730128849.9060
MEM 43.355469 1730128850.0069
MEM 43.371094 1730128850.1072
MEM 43.371094 1730128850.2080
MEM 43.371094 1730128850.3086
MEM 43.371094 1730128850.4095
MEM 43.386719 1730128850.5103
MEM 43.386719 1730128850.6107
MEM 43.390625 1730128850.7115
MEM 43.390625 1730128850.8123
MEM 43.390625 1730128850.9132
MEM 43.457031 1730128851.0140
MEM 43.457031 1730128851.1148
MEM 43.457031 1730128851.2157
MEM 43.457031 1730128851.3166
MEM 43.457031 1730128851.4175
MEM 43.457031 1730128851.5180
MEM 43.457031 1730128851.6184
MEM 43.457031 1730128851.7189
MEM 43.457031 1730128851.8193
MEM 43.457031 1730128851.9196
MEM 43.457031 1730128852.0200
MEM 43.457031 1730128852.1204
MEM 43.457031 1730128852.2208
MEM 43.457031 1730128852.3212
MEM 43.457031 1730128852.4217
MEM 43.457031 1730128852.5222
MEM 43.457031 1730128852.6227
MEM 43.457031 1730128852.7232
MEM 43.457031 1730128852.8237
