CMDLINE C:/Users/Hertzian/Documents/msys2/ucrt64/bin/python.exe bar.py
MEM 1.605469 1730131603.0533
MEM 16.832031 1730131603.1551
MEM 25.449219 1730131603.2554
MEM 30.621094 1730131603.3557
MEM 31.984375 1730131603.4560
MEM 32.183594 1730131603.5564
MEM 32.812500 1730131603.6567
MEM 33.847656 1730131603.7569
MEM 34.527344 1730131603.8572
MEM 34.527344 1730131603.9580
MEM 34.527344 1730131604.0583
MEM 34.527344 1730131604.1592
MEM 34.539062 1730131604.2600
MEM 34.871094 1730131604.3607
MEM 34.871094 1730131604.4610
MEM 35.417969 1730131604.5613
MEM 35.417969 1730131604.6617
MEM 35.417969 1730131604.7625
MEM 35.601562 1730131604.8633
MEM 35.601562 1730131604.9640
MEM 35.601562 1730131605.0644
MEM 35.832031 1730131605.1653
MEM 35.832031 1730131605.2661
MEM 35.832031 1730131605.3666
MEM 35.832031 1730131605.4671
MEM 35.832031 1730131605.5676
MEM 36.199219 1730131605.6681
MEM 36.199219 1730131605.7689
MEM 36.199219 1730131605.8694
MEM 36.199219 1730131605.9703
MEM 36.199219 1730131606.0708
MEM 36.199219 1730131606.1712
MEM 36.250000 1730131606.2722
MEM 36.250000 1730131606.3730
MEM 36.250000 1730131606.4738
MEM 36.250000 1730131606.5747
MEM 36.250000 1730131606.6756
MEM 36.250000 1730131606.7765
MEM 36.250000 1730131606.8773
MEM 36.250000 1730131606.9781
MEM 36.292969 1730131607.0784
MEM 36.292969 1730131607.1787
MEM 36.339844 1730131607.2791
MEM 36.339844 1730131607.3799
MEM 36.339844 1730131607.4807
MEM 36.339844 1730131607.5816
MEM 36.398438 1730131607.6824
MEM 36.398438 1730131607.7832
MEM 36.398438 1730131607.8836
MEM 36.398438 1730131607.9843
MEM 36.398438 1730131608.0847
MEM 36.398438 1730131608.1856
MEM 36.398438 1730131608.2870
MEM 36.445312 1730131608.3877
MEM 36.445312 1730131608.4880
MEM 36.445312 1730131608.5884
MEM 36.445312 1730131608.6892
MEM 36.445312 1730131608.7902
MEM 36.445312 1730131608.8907
MEM 36.445312 1730131608.9916
MEM 36.492188 1730131609.0920
MEM 36.492188 1730131609.1925
MEM 36.492188 1730131609.2930
MEM 36.535156 1730131609.3939
MEM 36.535156 1730131609.4943
MEM 36.535156 1730131609.5948
MEM 36.585938 1730131609.6953
MEM 36.585938 1730131609.7957
MEM 36.585938 1730131609.8966
MEM 36.585938 1730131609.9974
MEM 36.585938 1730131610.0977
MEM 36.585938 1730131610.1986
MEM 36.585938 1730131610.2995
MEM 36.000000 1730131610.4003
MEM 36.000000 1730131610.5006
MEM 36.000000 1730131610.6015
MEM 36.062500 1730131610.7023
MEM 36.062500 1730131610.8031
MEM 36.062500 1730131610.9081
MEM 36.062500 1730131611.0086
MEM 36.753906 1730131611.1089
MEM 36.753906 1730131611.2098
MEM 36.753906 1730131611.3102
MEM 36.984375 1730131611.4105
MEM 36.984375 1730131611.5109
MEM 36.984375 1730131611.6113
MEM 36.984375 1730131611.7116
MEM 36.308594 1730131611.8119
MEM 36.308594 1730131611.9124
MEM 36.308594 1730131612.0127
MEM 36.785156 1730131612.1130
MEM 36.785156 1730131612.2133
MEM 36.785156 1730131612.3135
MEM 36.800781 1730131612.4139
MEM 36.890625 1730131612.5143
MEM 36.890625 1730131612.6147
MEM 37.078125 1730131612.7150
MEM 37.078125 1730131612.8159
MEM 37.078125 1730131612.9166
MEM 37.132812 1730131613.0174
MEM 37.132812 1730131613.1176
MEM 37.136719 1730131613.2183
MEM 37.183594 1730131613.3187
MEM 37.183594 1730131613.4195
MEM 37.183594 1730131613.5203
MEM 37.183594 1730131613.6210
MEM 37.183594 1730131613.7213
MEM 37.187500 1730131613.8215
MEM 37.253906 1730131613.9219
MEM 37.253906 1730131614.0226
MEM 37.304688 1730131614.1229
MEM 37.304688 1730131614.2236
MEM 37.304688 1730131614.3239
MEM 37.355469 1730131614.4246
MEM 37.355469 1730131614.5253
MEM 37.410156 1730131614.6256
MEM 37.410156 1730131614.7263
MEM 37.410156 1730131614.8267
MEM 37.453125 1730131614.9275
MEM 37.453125 1730131615.0282
